# 2023-07-18
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,11,1,10,30.417622566223145,10,FALSE,TRUE,2023-07-20T21:17:56.383899
success,dedupe_fluent_nested_withCol,fluent,3,21,1,10,21.834140062332153,10,FALSE,TRUE,2023-07-20T21:18:18.357382
success,dedupe_fluent_nested_withCol,fluent,6,51,2,10,22.01309823989868,10,FALSE,TRUE,2023-07-20T21:18:40.509468
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,10200,4,10000,26.902926206588745,10000,FALSE,TRUE,2023-07-20T21:19:48.076785
success,dedupe_pandas,pandas,3,20200,4,10000,407.8847625255585,10000,FALSE,TRUE,2023-07-20T21:26:36.376902
success,dedupe_pandas,pandas,6,50200,5,10000,3084.181872844696,10000,FALSE,TRUE,2023-07-20T22:18:01.023449
success,dedupe_fluent_nested_python,fluent,2,10200,4,10000,7.978799819946289,10000,FALSE,TRUE,2023-07-20T22:18:09.526133
success,dedupe_fluent_nested_python,fluent,3,20200,4,10000,91.2423210144043,10000,FALSE,TRUE,2023-07-20T22:19:41.159211
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,281.3760898113251,10000,FALSE,TRUE,2023-07-20T22:24:22.924104
success,dedupe_fluent_nested_withCol,fluent,2,10200,4,10000,22.890111684799194,10000,FALSE,TRUE,2023-07-20T22:24:46.217465
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,10200,4,10000,31.19897747039795,10000,FALSE,TRUE,2023-07-21T08:01:27.496713
success,dedupe_pandas,pandas,3,20200,4,10000,381.6599440574646,10000,FALSE,TRUE,2023-07-21T08:07:49.565997
success,dedupe_pandas,pandas,6,50200,5,10000,3048.087548494339,10000,FALSE,TRUE,2023-07-21T08:58:38.055722
success,dedupe_fluent_nested_python,fluent,2,10200,4,10000,9.70890188217163,10000,FALSE,TRUE,2023-07-21T08:58:48.166550
success,dedupe_fluent_nested_python,fluent,3,20200,4,10000,85.07015895843506,10000,FALSE,TRUE,2023-07-21T09:00:13.628049
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,300.5468056201935,10000,FALSE,TRUE,2023-07-21T09:05:14.571560
success,dedupe_fluent_nested_withCol,fluent,2,10200,4,10000,33.978445529937744,10000,FALSE,TRUE,2023-07-21T09:05:48.949774
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,1020,3,1000,24.436503410339355,1000,FALSE,TRUE,2023-07-21T13:18:50.860762
success,dedupe_fluent_nested_withCol,fluent,3,2020,3,1000,23.77716851234436,1000,FALSE,TRUE,2023-07-21T13:19:14.808001
success,dedupe_fluent_nested_withCol,fluent,6,5020,4,1000,23.636062383651733,1000,FALSE,TRUE,2023-07-21T13:19:38.610229
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,10200,4,10000,159.01347422599792,10000,FALSE,TRUE,2023-07-21T13:23:17.078860
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,10200,4,10000,39.57620596885681,10000,FALSE,TRUE,2023-07-21T18:28:28.103886
success,dedupe_pandas,pandas,3,20200,4,10000,350.04468631744385,10000,FALSE,TRUE,2023-07-21T18:34:18.568150
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_windows,fluent,2,10200,4,10000,328.1262128353119,10000,FALSE,TRUE,2023-07-21T19:06:46.909017
success,dedupe_fluent_windows,fluent,3,20200,4,10000,1265.5389742851257,10000,FALSE,TRUE,2023-07-21T19:27:52.720976
success,dedupe_fluent_windows,fluent,6,50200,5,10000,7499.370779037476,10000,FALSE,TRUE,2023-07-21T21:32:52.390380
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_rdd_groupby,rdd,2,10200,4,10000,8.410318851470947,10000,FALSE,TRUE,2023-07-21T22:00:39.073427
success,dedupe_rdd_groupby,rdd,3,20200,4,10000,85.28780841827393,10000,FALSE,TRUE,2023-07-21T22:02:04.604558
