# 2023-07-18
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,
cond_pyspark_sql_nested,sql,90,0.758163,9,pyspark,2023-12-31T23:27:26.217059,
cond_pyspark_df_nested,fluent,90,0.815165,9,pyspark,2023-12-31T23:27:27.187971,
cond_pyspark_df_window,fluent,90,1.219641,9,pyspark,2023-12-31T23:27:28.575358,
cond_pyspark_rdd_grp_map,rdd,90,31.332089,9,pyspark,2023-12-31T23:28:00.057565,
cond_pyspark_rdd_reduce,rdd,90,24.901330,9,pyspark,2023-12-31T23:28:25.112069,
cond_pyspark_rdd_map_part,rdd,90,24.867032,9,pyspark,2023-12-31T23:28:50.144202,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_pyspark_sql_join,sql,90,0.687323,9,pyspark,2024-01-07T16:06:55.020889,
cond_pyspark_df_join,fluent,90,0.708814,9,pyspark,2024-01-07T16:06:55.862922,
cond_pyspark_sql_null,sql,90,0.468100,9,pyspark,2024-01-07T16:06:56.464642,
cond_pyspark_df_null,fluent,90,0.280026,9,pyspark,2024-01-07T16:06:56.872351,
cond_pyspark_df_zero,fluent,90,0.438188,9,pyspark,2024-01-07T16:06:57.437423,
cond_pyspark_df_grp_pandas,pandas,90,4.175467,9,pyspark,2024-01-07T16:07:01.738620,
cond_pyspark_sql_nested,sql,90,0.729014,9,pyspark,2024-01-07T16:07:02.729947,
cond_pyspark_df_nested,fluent,90,0.701184,9,pyspark,2024-01-07T16:07:03.559045,
cond_pyspark_df_window,fluent,90,0.834799,9,pyspark,2024-01-07T16:07:04.520948,
cond_pyspark_rdd_grp_map,rdd,90,32.499538,9,pyspark,2024-01-07T16:07:37.153903,
cond_pyspark_rdd_reduce,rdd,90,25.722269,9,pyspark,2024-01-07T16:08:03.006110,
cond_pyspark_rdd_map_part,rdd,90,25.882846,9,pyspark,2024-01-07T16:08:29.020532,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_pyspark_sql_join,sql,90,0.785386,9,pyspark,2024-01-08T21:14:19.528405,
cond_pyspark_df_join,fluent,90,0.755831,9,pyspark,2024-01-08T21:14:20.420549,
cond_pyspark_sql_null,sql,90,0.445431,9,pyspark,2024-01-08T21:14:20.996713,
cond_pyspark_df_null,fluent,90,0.311030,9,pyspark,2024-01-08T21:14:21.435744,
cond_pyspark_df_zero,fluent,90,0.429484,9,pyspark,2024-01-08T21:14:21.998632,
cond_pyspark_df_grp_pandas,pandas,90,4.536923,9,pyspark,2024-01-08T21:14:26.664272,
cond_pyspark_sql_nested,sql,90,0.670960,9,pyspark,2024-01-08T21:14:27.600794,
cond_pyspark_df_nested,fluent,90,0.684895,9,pyspark,2024-01-08T21:14:28.414867,
cond_pyspark_df_window,fluent,90,0.965377,9,pyspark,2024-01-08T21:14:29.510623,
cond_pyspark_rdd_grp_map,rdd,90,34.235917,9,pyspark,2024-01-08T21:15:03.873286,
cond_pyspark_rdd_reduce,rdd,90,27.137176,9,pyspark,2024-01-08T21:15:31.147230,
cond_pyspark_rdd_map_part,rdd,90,27.456748,9,pyspark,2024-01-08T21:15:58.740025,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_pyspark_sql_join,sql,90,0.752803,9,pyspark,2024-06-29T22:57:30.551774,
cond_pyspark_df_join,fluent,90,0.458228,9,pyspark,2024-06-29T22:57:31.153694,
cond_pyspark_sql_null,sql,90,0.425826,9,pyspark,2024-06-29T22:57:31.718193,
cond_pyspark_df_null,fluent,90,0.212824,9,pyspark,2024-06-29T22:57:32.069965,
cond_pyspark_df_zero,fluent,90,0.414563,9,pyspark,2024-06-29T22:57:32.628962,
cond_pyspark_df_grp_pandas,pandas,90,2.798288,9,pyspark,2024-06-29T22:57:35.571231,
cond_pyspark_df_grp_pandas_numba,pandas,90,5.785562,9,pyspark,2024-06-29T22:57:41.507641,
cond_pyspark_sql_nested,sql,90,0.625085,9,pyspark,2024-06-29T22:57:42.279397,
cond_pyspark_df_nested,fluent,90,0.714764,9,pyspark,2024-06-29T22:57:43.133881,
cond_pyspark_df_window,fluent,90,0.835299,9,pyspark,2024-06-29T22:57:44.106250,
cond_pyspark_rdd_grp_map,rdd,90,38.168493,9,pyspark,2024-06-29T22:58:22.435704,
cond_pyspark_rdd_reduce,rdd,90,29.554223,9,pyspark,2024-06-29T22:58:52.128922,
cond_pyspark_rdd_map_part,rdd,90,29.765779,9,pyspark,2024-06-29T22:59:22.044976,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_pyspark_sql_join,sql,90,1.487534,9,pyspark,2024-06-29T23:03:10.218840,
cond_pyspark_df_join,fluent,90,0.718296,9,pyspark,2024-06-29T23:03:11.081092,
cond_pyspark_sql_null,sql,90,0.567641,9,pyspark,2024-06-29T23:03:11.796753,
cond_pyspark_df_null,fluent,90,0.294925,9,pyspark,2024-06-29T23:03:12.242567,
cond_pyspark_df_zero,fluent,90,0.497360,9,pyspark,2024-06-29T23:03:12.882938,
cond_pyspark_df_grp_pandas,pandas,90,2.718958,9,pyspark,2024-06-29T23:03:15.750018,
cond_pyspark_df_grp_pandas_numba,pandas,90,5.696938,9,pyspark,2024-06-29T23:03:21.588848,
cond_pyspark_sql_nested,sql,90,0.740965,9,pyspark,2024-06-29T23:03:22.478280,
cond_pyspark_df_nested,fluent,90,0.778651,9,pyspark,2024-06-29T23:03:23.398823,
cond_pyspark_df_window,fluent,90,0.891381,9,pyspark,2024-06-29T23:03:24.435820,
cond_pyspark_rdd_grp_map,rdd,90,37.607778,9,pyspark,2024-06-29T23:04:02.190046,
cond_pyspark_rdd_reduce,rdd,90,30.134520,9,pyspark,2024-06-29T23:04:32.471034,
cond_pyspark_rdd_map_part,rdd,90,30.422438,9,pyspark,2024-06-29T23:05:03.036104,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_pyspark_sql_join,sql,90,0.598915,9,pyspark,2024-06-29T23:39:12.263899,
cond_pyspark_df_join,fluent,90,0.406553,9,pyspark,2024-06-29T23:39:12.806762,
cond_pyspark_sql_null,sql,90,0.357219,9,pyspark,2024-06-29T23:39:13.296092,
cond_pyspark_df_null,fluent,90,0.276017,9,pyspark,2024-06-29T23:39:13.706926,
cond_pyspark_df_zero,fluent,90,0.322702,9,pyspark,2024-06-29T23:39:14.161749,
cond_pyspark_df_grp_pandas,pandas,90,2.334167,9,pyspark,2024-06-29T23:39:16.629542,
cond_pyspark_df_grp_pandas_numba,pandas,90,5.097061,9,pyspark,2024-06-29T23:39:21.863968,
cond_pyspark_sql_nested,sql,90,0.568221,9,pyspark,2024-06-29T23:39:22.577747,
cond_pyspark_df_nested,fluent,90,0.599427,9,pyspark,2024-06-29T23:39:23.316314,
cond_pyspark_df_window,fluent,90,0.674387,9,pyspark,2024-06-29T23:39:24.124762,
cond_pyspark_rdd_grp_map,rdd,90,37.414490,9,pyspark,2024-06-29T23:40:01.672695,
cond_pyspark_rdd_reduce,rdd,90,29.056991,9,pyspark,2024-06-29T23:40:30.869851,
cond_pyspark_rdd_map_part,rdd,90,29.059567,9,pyspark,2024-06-29T23:41:00.065938,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_pyspark_sql_join,sql,90,0.717488,9,pyspark,2024-07-07T16:22:46.505335,
cond_pyspark_df_join,fluent,90,0.594509,9,pyspark,2024-07-07T16:22:47.244276,
cond_pyspark_sql_null,sql,90,0.537423,9,pyspark,2024-07-07T16:22:47.966948,
cond_pyspark_df_null,fluent,90,0.295771,9,pyspark,2024-07-07T16:22:48.443201,
cond_pyspark_df_zero,fluent,90,0.334888,9,pyspark,2024-07-07T16:22:48.944846,
cond_pyspark_df_grp_pandas,pandas,90,3.523291,9,pyspark,2024-07-07T16:22:52.612105,
cond_pyspark_df_grp_pandas_numba,pandas,90,7.234669,9,pyspark,2024-07-07T16:23:00.010859,
cond_pyspark_sql_nested,sql,90,0.622605,9,pyspark,2024-07-07T16:23:00.782474,
cond_pyspark_df_nested,fluent,90,0.648702,9,pyspark,2024-07-07T16:23:01.576025,
cond_pyspark_df_window,fluent,90,0.920293,9,pyspark,2024-07-07T16:23:02.643381,
