 strategy_name,interface,num_source_rows,elapsed_time,record_count,engine,finished_at,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.004531,9,python_single_threaded,2024-10-08T21:45:51.084477,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.007539,9,python_single_threaded,2024-10-08T21:45:51.251191,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.011074,9,python_single_threaded,2024-10-08T21:45:51.419566,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.012109,9,python_single_threaded,2024-10-08T21:45:51.593284,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.005603,9,python_single_threaded,2024-10-08T21:45:51.770010,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.014072,9,python_single_threaded,2024-10-08T21:45:51.946827,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.023966,9,python_single_threaded,2024-10-08T21:45:52.131107,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.018619,9,python_single_threaded,2024-10-08T21:45:52.308716,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.019033,9,python_single_threaded,2024-10-08T21:45:52.486339,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.013971,9,python_single_threaded,2024-10-08T21:45:52.663775,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.018077,9,python_single_threaded,2024-10-08T21:45:52.841947,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.019094,9,python_single_threaded,2024-10-08T21:45:53.021256,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.014124,9,python_single_threaded,2024-10-08T21:45:53.192048,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.012694,9,python_single_threaded,2024-10-08T21:45:53.377568,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.014441,9,python_single_threaded,2024-10-08T21:45:53.553640,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.018066,9,python_single_threaded,2024-10-08T21:45:53.733296,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.182090,9,python_single_threaded,2024-10-08T21:45:54.078156,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.101935,9,python_single_threaded,2024-10-08T21:45:54.338833,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.095426,9,python_single_threaded,2024-10-08T21:45:54.585211,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.099545,9,python_single_threaded,2024-10-08T21:45:54.846046,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.100185,9,python_single_threaded,2024-10-08T21:45:55.103385,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.096530,9,python_single_threaded,2024-10-08T21:45:55.356920,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.098216,9,python_single_threaded,2024-10-08T21:45:55.610238,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.107619,9,python_single_threaded,2024-10-08T21:45:55.872988,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.116444,9,python_single_threaded,2024-10-08T21:45:56.142619,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.106946,9,python_single_threaded,2024-10-08T21:45:56.408059,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.449639,9,python_single_threaded,2024-10-08T21:45:58.024629,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.263933,9,python_single_threaded,2024-10-08T21:45:59.492321,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.217591,9,python_single_threaded,2024-10-08T21:46:00.886987,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.217214,9,python_single_threaded,2024-10-08T21:46:02.280396,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.281164,9,python_single_threaded,2024-10-08T21:46:03.733747,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.281650,9,python_single_threaded,2024-10-08T21:46:05.201100,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.204024,9,python_single_threaded,2024-10-08T21:46:06.574286,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.247756,9,python_single_threaded,2024-10-08T21:46:07.989901,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.162959,9,python_single_threaded,2024-10-08T21:46:09.339031,
vanilla_py_st_pd_grp_numpy,pandas,9000000,1.343778,9,python_single_threaded,2024-10-08T21:46:10.850700,
vanilla_py_st_pd_grp_numba,pandas,9,0.010700,9,python_single_threaded,2024-10-08T21:46:11.040511,
vanilla_py_st_pd_grp_numba,pandas,9,0.006027,9,python_single_threaded,2024-10-08T21:46:11.220650,
vanilla_py_st_pd_grp_numba,pandas,9,0.007447,9,python_single_threaded,2024-10-08T21:46:11.433039,
vanilla_py_st_pd_grp_numba,pandas,9,0.005005,9,python_single_threaded,2024-10-08T21:46:11.624273,
vanilla_py_st_pd_grp_numba,pandas,9,0.009938,9,python_single_threaded,2024-10-08T21:46:11.821344,
vanilla_py_st_pd_grp_numba,pandas,9,0.013546,9,python_single_threaded,2024-10-08T21:46:12.016504,
vanilla_py_st_pd_grp_numba,pandas,9,0.010897,9,python_single_threaded,2024-10-08T21:46:12.213465,
vanilla_py_st_pd_grp_numba,pandas,9,0.011738,9,python_single_threaded,2024-10-08T21:46:12.411661,
vanilla_py_st_pd_grp_numba,pandas,9,0.009063,9,python_single_threaded,2024-10-08T21:46:12.598581,
vanilla_py_st_pd_grp_numba,pandas,9,0.009127,9,python_single_threaded,2024-10-08T21:46:12.785616,
vanilla_py_st_pd_grp_numba,pandas,90,0.009531,9,python_single_threaded,2024-10-08T21:46:12.980333,
vanilla_py_st_pd_grp_numba,pandas,90,0.007982,9,python_single_threaded,2024-10-08T21:46:13.166313,
vanilla_py_st_pd_grp_numba,pandas,90,0.005873,9,python_single_threaded,2024-10-08T21:46:13.364475,
vanilla_py_st_pd_grp_numba,pandas,90,0.014257,9,python_single_threaded,2024-10-08T21:46:13.571698,
vanilla_py_st_pd_grp_numba,pandas,90,0.006127,9,python_single_threaded,2024-10-08T21:46:13.871330,
vanilla_py_st_pd_grp_numba,pandas,90,0.014022,9,python_single_threaded,2024-10-08T21:46:14.071129,
vanilla_py_st_pd_grp_numba,pandas,90,0.008118,9,python_single_threaded,2024-10-08T21:46:14.263972,
vanilla_py_st_pd_grp_numba,pandas,90,0.006057,9,python_single_threaded,2024-10-08T21:46:14.463165,
vanilla_py_st_pd_grp_numba,pandas,90,0.008442,9,python_single_threaded,2024-10-08T21:46:14.667973,
vanilla_py_st_pd_grp_numba,pandas,90,0.009452,9,python_single_threaded,2024-10-08T21:46:14.872401,
vanilla_py_st_pd_grp_numba,pandas,900,0.007388,9,python_single_threaded,2024-10-08T21:46:15.051320,
vanilla_py_st_pd_grp_numba,pandas,900,0.007586,9,python_single_threaded,2024-10-08T21:46:15.259027,
vanilla_py_st_pd_grp_numba,pandas,900,0.006792,9,python_single_threaded,2024-10-08T21:46:15.432128,
vanilla_py_st_pd_grp_numba,pandas,900,0.006572,9,python_single_threaded,2024-10-08T21:46:15.622101,
vanilla_py_st_pd_grp_numba,pandas,900,0.010359,9,python_single_threaded,2024-10-08T21:46:15.810448,
vanilla_py_st_pd_grp_numba,pandas,900,0.006070,9,python_single_threaded,2024-10-08T21:46:16.004011,
vanilla_py_st_pd_grp_numba,pandas,900,0.009118,9,python_single_threaded,2024-10-08T21:46:16.214827,
vanilla_py_st_pd_grp_numba,pandas,900,0.008615,9,python_single_threaded,2024-10-08T21:46:16.423457,
vanilla_py_st_pd_grp_numba,pandas,900,0.007685,9,python_single_threaded,2024-10-08T21:46:16.608872,
vanilla_py_st_pd_grp_numba,pandas,900,0.006268,9,python_single_threaded,2024-10-08T21:46:16.798050,
vanilla_py_st_pd_grp_numba,pandas,9000,0.009616,9,python_single_threaded,2024-10-08T21:46:16.981446,
vanilla_py_st_pd_grp_numba,pandas,9000,0.009311,9,python_single_threaded,2024-10-08T21:46:17.182182,
vanilla_py_st_pd_grp_numba,pandas,9000,0.010540,9,python_single_threaded,2024-10-08T21:46:17.383897,
vanilla_py_st_pd_grp_numba,pandas,9000,0.007100,9,python_single_threaded,2024-10-08T21:46:17.576517,
vanilla_py_st_pd_grp_numba,pandas,9000,0.010769,9,python_single_threaded,2024-10-08T21:46:17.766616,
vanilla_py_st_pd_grp_numba,pandas,9000,0.007246,9,python_single_threaded,2024-10-08T21:46:17.958619,
vanilla_py_st_pd_grp_numba,pandas,9000,0.008183,9,python_single_threaded,2024-10-08T21:46:18.147108,
vanilla_py_st_pd_grp_numba,pandas,9000,0.007154,9,python_single_threaded,2024-10-08T21:46:18.331951,
vanilla_py_st_pd_grp_numba,pandas,9000,0.011684,9,python_single_threaded,2024-10-08T21:46:18.527428,
vanilla_py_st_pd_grp_numba,pandas,9000,0.007779,9,python_single_threaded,2024-10-08T21:46:18.722187,
vanilla_py_st_pd_grp_numba,pandas,90000,0.020934,9,python_single_threaded,2024-10-08T21:46:18.933861,
vanilla_py_st_pd_grp_numba,pandas,90000,0.018354,9,python_single_threaded,2024-10-08T21:46:19.128439,
vanilla_py_st_pd_grp_numba,pandas,90000,0.016463,9,python_single_threaded,2024-10-08T21:46:19.333209,
vanilla_py_st_pd_grp_numba,pandas,90000,0.015297,9,python_single_threaded,2024-10-08T21:46:19.531487,
vanilla_py_st_pd_grp_numba,pandas,90000,0.019499,9,python_single_threaded,2024-10-08T21:46:19.738873,
vanilla_py_st_pd_grp_numba,pandas,90000,0.021163,9,python_single_threaded,2024-10-08T21:46:19.949142,
vanilla_py_st_pd_grp_numba,pandas,90000,0.020249,9,python_single_threaded,2024-10-08T21:46:20.176206,
vanilla_py_st_pd_grp_numba,pandas,90000,0.016454,9,python_single_threaded,2024-10-08T21:46:20.384583,
vanilla_py_st_pd_grp_numba,pandas,90000,0.016724,9,python_single_threaded,2024-10-08T21:46:20.592795,
vanilla_py_st_pd_grp_numba,pandas,90000,0.017022,9,python_single_threaded,2024-10-08T21:46:20.799515,
vanilla_py_st_pd_grp_numba,pandas,900000,0.203038,9,python_single_threaded,2024-10-08T21:46:21.187253,
vanilla_py_st_pd_grp_numba,pandas,900000,0.136568,9,python_single_threaded,2024-10-08T21:46:21.520914,
vanilla_py_st_pd_grp_numba,pandas,900000,0.128619,9,python_single_threaded,2024-10-08T21:46:21.831083,
vanilla_py_st_pd_grp_numba,pandas,900000,0.109730,9,python_single_threaded,2024-10-08T21:46:22.113272,
vanilla_py_st_pd_grp_numba,pandas,900000,0.099629,9,python_single_threaded,2024-10-08T21:46:22.403893,
vanilla_py_st_pd_grp_numba,pandas,900000,0.105523,9,python_single_threaded,2024-10-08T21:46:22.685549,
vanilla_py_st_pd_grp_numba,pandas,900000,0.115487,9,python_single_threaded,2024-10-08T21:46:22.976145,
vanilla_py_st_pd_grp_numba,pandas,900000,0.132333,9,python_single_threaded,2024-10-08T21:46:23.279435,
vanilla_py_st_pd_grp_numba,pandas,900000,0.118145,9,python_single_threaded,2024-10-08T21:46:23.565207,
vanilla_py_st_pd_grp_numba,pandas,900000,0.104477,9,python_single_threaded,2024-10-08T21:46:23.841552,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.298972,9,python_single_threaded,2024-10-08T21:46:25.315823,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.236519,9,python_single_threaded,2024-10-08T21:46:26.725215,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.448386,9,python_single_threaded,2024-10-08T21:46:28.338065,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.624346,9,python_single_threaded,2024-10-08T21:46:30.129346,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.360953,9,python_single_threaded,2024-10-08T21:46:31.698514,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.266107,9,python_single_threaded,2024-10-08T21:46:33.133236,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.296546,9,python_single_threaded,2024-10-08T21:46:34.623760,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.249755,9,python_single_threaded,2024-10-08T21:46:36.043246,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.462529,9,python_single_threaded,2024-10-08T21:46:37.682078,
vanilla_py_st_pd_grp_numba,pandas,9000000,1.053414,9,python_single_threaded,2024-10-08T21:46:38.905377,
 strategy_name,interface,num_source_rows,elapsed_time,record_count,engine,finished_at,
vanilla_py_st_pd_grp_numba,pandas,9000,0.007993,9,python_single_threaded,2024-10-09T08:51:11.522494,
vanilla_py_st_pd_grp_numba,pandas,900000,0.068505,9,python_single_threaded,2024-10-09T08:51:11.760832,
vanilla_py_st_pd_grp_numba,pandas,90,0.008008,9,python_single_threaded,2024-10-09T08:51:11.921659,
vanilla_py_st_pd_grp_numpy,pandas,9,0.008081,9,python_single_threaded,2024-10-09T08:51:12.080836,
vanilla_py_st_pd_grp_numba,pandas,9000,0.010271,9,python_single_threaded,2024-10-09T08:51:12.234717,
vanilla_py_st_pd_grp_numpy,pandas,90,0.011945,9,python_single_threaded,2024-10-09T08:51:12.395965,
vanilla_py_st_pd_grp_numba,pandas,90,0.010210,9,python_single_threaded,2024-10-09T08:51:12.550888,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.014611,9,python_single_threaded,2024-10-09T08:51:12.716964,
vanilla_py_st_pd_grp_numba,pandas,9000,0.009031,9,python_single_threaded,2024-10-09T08:51:12.869331,
vanilla_py_st_pd_grp_numba,pandas,9,0.010228,9,python_single_threaded,2024-10-09T08:51:13.030691,
vanilla_py_st_pd_grp_numba,pandas,90,0.012014,9,python_single_threaded,2024-10-09T08:51:13.198364,
vanilla_py_st_pd_grp_numba,pandas,900,0.008008,9,python_single_threaded,2024-10-09T08:51:13.370339,
vanilla_py_st_pd_grp_numba,pandas,900,0.005013,9,python_single_threaded,2024-10-09T08:51:13.526036,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.081119,9,python_single_threaded,2024-10-09T08:51:13.756865,
vanilla_py_st_pd_grp_numba,pandas,9000000,0.827385,9,python_single_threaded,2024-10-09T08:51:14.729401,
vanilla_py_st_pd_grp_numpy,pandas,90,0.008257,9,python_single_threaded,2024-10-09T08:51:14.889255,
vanilla_py_st_pd_grp_numba,pandas,9000,0.009199,9,python_single_threaded,2024-10-09T08:51:15.042846,
vanilla_py_st_pd_grp_numba,pandas,90,0.013016,9,python_single_threaded,2024-10-09T08:51:15.206814,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.078143,9,python_single_threaded,2024-10-09T08:51:15.447928,
vanilla_py_st_pd_grp_numpy,pandas,90,0.008086,9,python_single_threaded,2024-10-09T08:51:15.601131,
vanilla_py_st_pd_grp_numpy,pandas,9000000,0.853534,9,python_single_threaded,2024-10-09T08:51:16.597933,
vanilla_py_st_pd_grp_numba,pandas,90000,0.017009,9,python_single_threaded,2024-10-09T08:51:16.763422,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.017272,9,python_single_threaded,2024-10-09T08:51:16.931197,
vanilla_py_st_pd_grp_numba,pandas,9000000,0.809537,9,python_single_threaded,2024-10-09T08:51:17.884571,
vanilla_py_st_pd_grp_numpy,pandas,900,0.009016,9,python_single_threaded,2024-10-09T08:51:18.044464,
vanilla_py_st_pd_grp_numpy,pandas,9000000,0.841860,9,python_single_threaded,2024-10-09T08:51:19.032488,
vanilla_py_st_pd_grp_numba,pandas,90,0.008008,9,python_single_threaded,2024-10-09T08:51:19.182541,
vanilla_py_st_pd_grp_numba,pandas,9000,0.014507,9,python_single_threaded,2024-10-09T08:51:19.349475,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.005528,9,python_single_threaded,2024-10-09T08:51:19.513690,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.013027,9,python_single_threaded,2024-10-09T08:51:19.676112,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.007097,9,python_single_threaded,2024-10-09T08:51:19.825863,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.080850,9,python_single_threaded,2024-10-09T08:51:20.050823,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.013027,9,python_single_threaded,2024-10-09T08:51:20.208251,
vanilla_py_st_pd_grp_numba,pandas,900000,0.078483,9,python_single_threaded,2024-10-09T08:51:20.430277,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.016226,9,python_single_threaded,2024-10-09T08:51:20.599381,
vanilla_py_st_pd_grp_numpy,pandas,9000000,0.852941,9,python_single_threaded,2024-10-09T08:51:21.595235,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.012089,9,python_single_threaded,2024-10-09T08:51:21.752166,
vanilla_py_st_pd_grp_numba,pandas,900000,0.078015,9,python_single_threaded,2024-10-09T08:51:21.973967,
vanilla_py_st_pd_grp_numpy,pandas,900,0.008098,9,python_single_threaded,2024-10-09T08:51:22.132868,
vanilla_py_st_pd_grp_numpy,pandas,900000,0.081587,9,python_single_threaded,2024-10-09T08:51:22.358264,
vanilla_py_st_pd_grp_numba,pandas,900,0.008318,9,python_single_threaded,2024-10-09T08:51:22.509706,
vanilla_py_st_pd_grp_numba,pandas,9,0.012016,9,python_single_threaded,2024-10-09T08:51:22.673777,
vanilla_py_st_pd_grp_numpy,pandas,900,0.009020,9,python_single_threaded,2024-10-09T08:51:22.845514,
vanilla_py_st_pd_grp_numpy,pandas,90000,0.013320,9,python_single_threaded,2024-10-09T08:51:23.007571,
vanilla_py_st_pd_grp_numpy,pandas,9,0.009014,9,python_single_threaded,2024-10-09T08:51:23.161334,
