 strategy_name,interface,num_source_rows,relative_cardinality_between_groupings,elapsed_time,num_output_rows,engine,finished_at,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.152103,3,python_single_threaded,2024-10-09T15:36:16.842522,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.084129,3,python_single_threaded,2024-10-09T15:36:17.073315,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.153012,3,python_single_threaded,2024-10-09T15:36:17.371927,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.072120,3,python_single_threaded,2024-10-09T15:36:17.587264,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.008036,3,python_single_threaded,2024-10-09T15:36:17.739425,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.083391,3,python_single_threaded,2024-10-09T15:36:17.972508,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.066034,3,python_single_threaded,2024-10-09T15:36:18.180491,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.882164,3,python_single_threaded,2024-10-09T15:36:19.206409,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.884432,3,python_single_threaded,2024-10-09T15:36:20.235218,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.076015,3,python_single_threaded,2024-10-09T15:36:20.455540,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.079801,3,python_single_threaded,2024-10-09T15:36:20.679666,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.089033,3,python_single_threaded,2024-10-09T15:36:20.911798,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.071013,3,python_single_threaded,2024-10-09T15:36:21.126674,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.910275,3,python_single_threaded,2024-10-09T15:36:22.181319,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.150870,3,python_single_threaded,2024-10-09T15:36:22.477318,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.145389,3,python_single_threaded,2024-10-09T15:36:22.764905,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.069391,3,python_single_threaded,2024-10-09T15:36:22.977596,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.072022,3,python_single_threaded,2024-10-09T15:36:23.193743,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.083035,3,python_single_threaded,2024-10-09T15:36:23.420995,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.865163,3,python_single_threaded,2024-10-09T15:36:24.427061,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.075163,3,python_single_threaded,2024-10-09T15:36:24.646549,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.070027,3,python_single_threaded,2024-10-09T15:36:24.860946,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.086521,3,python_single_threaded,2024-10-09T15:36:25.091752,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.004017,3,python_single_threaded,2024-10-09T15:36:25.238659,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.149092,3,python_single_threaded,2024-10-09T15:36:25.532946,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.151194,3,python_single_threaded,2024-10-09T15:36:25.826078,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.858367,3,python_single_threaded,2024-10-09T15:36:26.827908,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.085016,3,python_single_threaded,2024-10-09T15:36:27.057780,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.148310,3,python_single_threaded,2024-10-09T15:36:27.351131,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.149205,3,python_single_threaded,2024-10-09T15:36:27.642810,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.085704,3,python_single_threaded,2024-10-09T15:36:27.869681,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.150543,3,python_single_threaded,2024-10-09T15:36:28.163289,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.847754,3,python_single_threaded,2024-10-09T15:36:29.153820,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.856388,3,python_single_threaded,2024-10-09T15:36:30.155821,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.075716,3,python_single_threaded,2024-10-09T15:36:30.373948,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.004014,3,python_single_threaded,2024-10-09T15:36:30.522033,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.009022,3,python_single_threaded,2024-10-09T15:36:30.679105,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.069275,3,python_single_threaded,2024-10-09T15:36:30.896288,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.849410,3,python_single_threaded,2024-10-09T15:36:31.887836,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.158032,3,python_single_threaded,2024-10-09T15:36:32.189749,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.070014,3,python_single_threaded,2024-10-09T15:36:32.401439,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.087032,3,python_single_threaded,2024-10-09T15:36:32.631459,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.151296,3,python_single_threaded,2024-10-09T15:36:32.925673,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.151281,3,python_single_threaded,2024-10-09T15:36:33.219478,
