 strategy_name,interface,num_source_rows,elapsed_time,relative_cardinality,engine,finished_at,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.312161,3,dask,2024-10-08T21:54:42.601800,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.219643,3,dask,2024-10-08T21:54:43.883177,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.409285,3,dask,2024-10-08T21:54:52.755545,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.260051,3,dask,2024-10-08T21:54:53.856845,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.322693,3,dask,2024-10-08T21:54:54.336435,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.320957,3,dask,2024-10-08T21:54:55.070472,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.596989,3,dask,2024-10-08T21:55:03.822122,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.227091,3,dask,2024-10-08T21:55:04.223590,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,8.703789,3,dask,2024-10-08T21:55:13.084052,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,8.270379,3,dask,2024-10-08T21:55:21.506521,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,1.092257,3,dask,2024-10-08T21:55:22.748201,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.975242,3,dask,2024-10-08T21:55:24.177044,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.974256,3,dask,2024-10-08T21:55:25.296496,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.946743,3,dask,2024-10-08T21:55:26.391063,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.502119,3,dask,2024-10-08T21:55:35.039526,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.319421,3,dask,2024-10-08T21:55:35.525880,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.132862,3,dask,2024-10-08T21:55:43.805275,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.231915,3,dask,2024-10-08T21:55:44.189835,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.341667,3,dask,2024-10-08T21:55:44.681968,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,1.022269,3,dask,2024-10-08T21:55:45.865161,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.205782,3,dask,2024-10-08T21:55:46.539428,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.989847,3,dask,2024-10-08T21:55:47.675640,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.957691,3,dask,2024-10-08T21:55:48.779636,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.184952,3,dask,2024-10-08T21:55:57.114580,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.316487,3,dask,2024-10-08T21:55:57.580036,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.984177,3,dask,2024-10-08T21:55:58.710531,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.690100,3,dask,2024-10-08T21:56:07.549458,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.268438,3,dask,2024-10-08T21:56:08.361204,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.177243,3,dask,2024-10-08T21:56:08.686644,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.381371,3,dask,2024-10-08T21:56:09.232118,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.270010,3,dask,2024-10-08T21:56:09.652062,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.403373,3,dask,2024-10-08T21:56:10.201115,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.074241,3,dask,2024-10-08T21:56:12.005555,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.314367,3,dask,2024-10-08T21:56:12.468075,
