 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.133954,9,dask,2024-07-21T10:45:51.335177,
vanilla_dask_sql_no_gpu,ddf,90000,0.113863,9,dask,2024-07-21T10:45:51.593711,
vanilla_dask_sql_no_gpu,ddf,900,0.107071,9,dask,2024-07-21T10:45:51.847268,
vanilla_dask_ddf_grp_apply,ddf,9000,0.110990,9,dask,2024-07-21T10:45:52.258716,
vanilla_dask_ddf_grp_apply,ddf,9000,0.109263,9,dask,2024-07-21T10:45:52.513076,
vanilla_dask_ddf_grp_udaf,ddf,9,0.083317,9,dask,2024-07-21T10:45:52.741634,
vanilla_dask_sql_no_gpu,ddf,9000,0.104381,9,dask,2024-07-21T10:45:52.990185,
vanilla_dask_sql_no_gpu,ddf,90,0.104443,9,dask,2024-07-21T10:45:53.239444,
vanilla_dask_sql_no_gpu,ddf,900000,0.158328,9,dask,2024-07-21T10:45:53.542739,
vanilla_dask_sql_no_gpu,ddf,90,0.099547,9,dask,2024-07-21T10:45:53.786256,
vanilla_dask_sql_no_gpu,ddf,9,0.081982,9,dask,2024-07-21T10:45:54.642833,
vanilla_dask_sql_no_gpu,ddf,900000,0.160986,9,dask,2024-07-21T10:45:54.950641,
vanilla_dask_sql_no_gpu,ddf,90,0.099988,9,dask,2024-07-21T10:45:55.194685,
vanilla_dask_sql_no_gpu,ddf,90,0.103466,9,dask,2024-07-21T10:45:55.441220,
vanilla_dask_ddf_grp_apply,ddf,9,0.053683,9,dask,2024-07-21T10:45:55.796544,
vanilla_dask_sql_no_gpu,ddf,9000000,0.864679,9,dask,2024-07-21T10:45:56.814242,
vanilla_dask_sql_no_gpu,ddf,900,0.104261,9,dask,2024-07-21T10:45:57.064981,
vanilla_dask_ddf_grp_apply,ddf,9000,0.107937,9,dask,2024-07-21T10:45:57.318605,
vanilla_dask_sql_no_gpu,ddf,9000,0.103207,9,dask,2024-07-21T10:45:57.566520,
vanilla_dask_ddf_grp_udaf,ddf,90,0.121021,9,dask,2024-07-21T10:45:57.984867,
vanilla_dask_ddf_grp_udaf,ddf,90,0.121974,9,dask,2024-07-21T10:45:58.250220,
vanilla_dask_sql_no_gpu,ddf,9,0.079689,9,dask,2024-07-21T10:45:58.474815,
vanilla_dask_sql_no_gpu,ddf,90000,0.109989,9,dask,2024-07-21T10:45:58.730711,
vanilla_dask_sql_no_gpu,ddf,90000,0.117462,9,dask,2024-07-21T10:45:58.992923,
vanilla_dask_ddf_grp_apply,ddf,900,0.098921,9,dask,2024-07-21T10:45:59.237531,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.135722,9,dask,2024-07-21T10:45:59.679127,
vanilla_dask_sql_no_gpu,ddf,90,0.100146,9,dask,2024-07-21T10:45:59.925961,
vanilla_dask_sql_no_gpu,ddf,90000,0.112005,9,dask,2024-07-21T10:46:00.182220,
vanilla_dask_sql_no_gpu,ddf,900,0.104987,9,dask,2024-07-21T10:46:00.431869,
vanilla_dask_sql_no_gpu,ddf,9000,0.100571,9,dask,2024-07-21T10:46:00.678301,
vanilla_dask_sql_no_gpu,ddf,90000,0.117986,9,dask,2024-07-21T10:46:00.940999,
vanilla_dask_sql_no_gpu,ddf,900,0.106071,9,dask,2024-07-21T10:46:01.191519,
vanilla_dask_sql_no_gpu,ddf,90,0.104016,9,dask,2024-07-21T10:46:01.594834,
vanilla_dask_ddf_grp_apply,ddf,9000,0.106339,9,dask,2024-07-21T10:46:01.845395,
vanilla_dask_sql_no_gpu,ddf,9,0.081551,9,dask,2024-07-21T10:46:02.229993,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.139015,9,dask,2024-07-21T10:46:02.514510,
vanilla_dask_sql_no_gpu,ddf,90000,0.111016,9,dask,2024-07-21T10:46:02.769117,
vanilla_dask_sql_no_gpu,ddf,9,0.076034,9,dask,2024-07-21T10:46:02.990105,
vanilla_dask_ddf_grp_apply,ddf,900,0.098987,9,dask,2024-07-21T10:46:03.234474,
vanilla_dask_ddf_grp_udaf,ddf,90,0.113928,9,dask,2024-07-21T10:46:03.492935,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.130430,9,dask,2024-07-21T10:46:03.768993,
vanilla_dask_ddf_grp_apply,ddf,90000,0.127752,9,dask,2024-07-21T10:46:04.195978,
vanilla_dask_ddf_grp_apply,ddf,900,0.098025,9,dask,2024-07-21T10:46:04.438909,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.140278,9,dask,2024-07-21T10:46:04.724783,
vanilla_dask_sql_no_gpu,ddf,9000,0.111988,9,dask,2024-07-21T10:46:04.980658,
vanilla_dask_sql_no_gpu,ddf,90000,0.111831,9,dask,2024-07-21T10:46:05.237145,
vanilla_dask_sql_no_gpu,ddf,9000000,0.847987,9,dask,2024-07-21T10:46:06.230898,
vanilla_dask_ddf_grp_udaf,ddf,900,0.142456,9,dask,2024-07-21T10:46:06.674073,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.141013,9,dask,2024-07-21T10:46:06.959204,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.137992,9,dask,2024-07-21T10:46:07.245820,
vanilla_dask_ddf_grp_udaf,ddf,90,0.120990,9,dask,2024-07-21T10:46:07.512785,
vanilla_dask_ddf_grp_udaf,ddf,9,0.087991,9,dask,2024-07-21T10:46:07.744872,
vanilla_dask_sql_no_gpu,ddf,900000,0.155692,9,dask,2024-07-21T10:46:08.200705,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.136339,9,dask,2024-07-21T10:46:08.482971,
vanilla_dask_sql_no_gpu,ddf,900,0.100938,9,dask,2024-07-21T10:46:08.727472,
vanilla_dask_sql_no_gpu,ddf,9,0.077391,9,dask,2024-07-21T10:46:08.951083,
vanilla_dask_ddf_grp_apply,ddf,90,0.091040,9,dask,2024-07-21T10:46:09.188559,
vanilla_dask_sql_no_gpu,ddf,90,0.102988,9,dask,2024-07-21T10:46:09.437427,
vanilla_dask_sql_no_gpu,ddf,900,0.103025,9,dask,2024-07-21T10:46:09.685647,
vanilla_dask_sql_no_gpu,ddf,900,0.096021,9,dask,2024-07-21T10:46:10.236529,
vanilla_dask_ddf_grp_apply,ddf,90,0.095805,9,dask,2024-07-21T10:46:10.475492,
vanilla_dask_ddf_grp_apply,ddf,900,0.098441,9,dask,2024-07-21T10:46:10.719184,
vanilla_dask_ddf_grp_apply,ddf,9000,0.104739,9,dask,2024-07-21T10:46:10.968837,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.141296,9,dask,2024-07-21T10:46:11.256108,
vanilla_dask_sql_no_gpu,ddf,9,0.076426,9,dask,2024-07-21T10:46:11.632816,
vanilla_dask_sql_no_gpu,ddf,900000,0.160019,9,dask,2024-07-21T10:46:12.093509,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.125988,9,dask,2024-07-21T10:46:12.364797,
vanilla_dask_sql_no_gpu,ddf,90000,0.113986,9,dask,2024-07-21T10:46:12.625660,
vanilla_dask_sql_no_gpu,ddf,9000,0.109036,9,dask,2024-07-21T10:46:13.347925,
vanilla_dask_ddf_grp_apply,ddf,90,0.093245,9,dask,2024-07-21T10:46:13.585399,
vanilla_dask_ddf_grp_apply,ddf,9,0.055034,9,dask,2024-07-21T10:46:13.784330,
vanilla_dask_ddf_grp_apply,ddf,9,0.049582,9,dask,2024-07-21T10:46:13.985042,
vanilla_dask_sql_no_gpu,ddf,900000,0.152780,9,dask,2024-07-21T10:46:14.282230,
vanilla_dask_ddf_grp_apply,ddf,90000,0.129321,9,dask,2024-07-21T10:46:14.556125,
vanilla_dask_sql_no_gpu,ddf,9000000,0.869023,9,dask,2024-07-21T10:46:15.570010,
vanilla_dask_ddf_grp_apply,ddf,90000,0.127144,9,dask,2024-07-21T10:46:15.842971,
vanilla_dask_sql_no_gpu,ddf,900,0.111259,9,dask,2024-07-21T10:46:16.253063,
vanilla_dask_ddf_grp_apply,ddf,900,0.102094,9,dask,2024-07-21T10:46:16.500122,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.127071,9,dask,2024-07-21T10:46:16.773678,
vanilla_dask_ddf_grp_udaf,ddf,900,0.125997,9,dask,2024-07-21T10:46:17.202415,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.128273,9,dask,2024-07-21T10:46:17.475548,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.138230,9,dask,2024-07-21T10:46:17.758993,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.124022,9,dask,2024-07-21T10:46:18.027686,
vanilla_dask_ddf_grp_apply,ddf,900,0.105822,9,dask,2024-07-21T10:46:18.279455,
vanilla_dask_ddf_grp_udaf,ddf,9,0.087989,9,dask,2024-07-21T10:46:18.512429,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.134036,9,dask,2024-07-21T10:46:18.792760,
vanilla_dask_ddf_grp_udaf,ddf,9,0.092237,9,dask,2024-07-21T10:46:19.029763,
vanilla_dask_sql_no_gpu,ddf,9000000,0.864293,9,dask,2024-07-21T10:46:20.039410,
