# 2023-07-18
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,3,21,1,10,1.7666547298431396,10,FALSE,TRUE,pyspark,2023-07-20T07:19:38.349260
success,dedupe_fluent_nested_withCol,fluent,6,51,2,10,1.729095220565796,10,FALSE,TRUE,pyspark,2023-07-20T07:19:40.218430
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,1.6953883171081543,100,FALSE,TRUE,pyspark,2023-07-20T07:19:42.056938
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.7358314990997314,100,FALSE,TRUE,pyspark,2023-07-20T07:19:43.934500
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.749765396118164,100,FALSE,TRUE,pyspark,2023-07-20T07:19:45.811718
success,dedupe_fluent_nested_withCol,fluent,2,1020,3,1000,1.7735223770141602,1000,FALSE,TRUE,pyspark,2023-07-20T07:19:47.744680
success,dedupe_fluent_nested_withCol,fluent,3,2020,3,1000,7.562493085861206,1000,FALSE,TRUE,pyspark,2023-07-20T07:19:55.468103
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.592069149017334,100,FALSE,TRUE,pyspark,2023-07-20T07:47:40.092615
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,2.0064661502838135,100,FALSE,TRUE,pyspark,2023-07-20T07:47:42.240634
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.970632791519165,100,FALSE,TRUE,pyspark,2023-07-20T07:47:44.349565
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.591656446456909,100,FALSE,TRUE,pyspark,2023-07-20T10:42:25.909400
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.9257078170776367,100,FALSE,TRUE,pyspark,2023-07-20T10:42:27.960320
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,2.0000431537628174,100,FALSE,TRUE,pyspark,2023-07-20T10:42:30.085605
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.466352939605713,100,FALSE,TRUE,pyspark,2023-07-20T10:48:47.943164
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.9733319282531738,100,FALSE,TRUE,pyspark,2023-07-20T10:48:50.045445
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.998715877532959,100,FALSE,TRUE,pyspark,2023-07-20T10:48:52.165650
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.4581544399261475,100,FALSE,TRUE,pyspark,2023-07-20T10:50:33.320204
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.9106740951538086,100,FALSE,TRUE,pyspark,2023-07-20T10:50:35.349972
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.9349238872528076,100,FALSE,TRUE,pyspark,2023-07-20T10:50:37.410619
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.42440128326416,100,FALSE,TRUE,pyspark,2023-07-20T10:53:39.770159
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.8934473991394043,100,FALSE,TRUE,pyspark,2023-07-20T10:53:41.795033
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.9278769493103027,100,FALSE,TRUE,pyspark,2023-07-20T10:53:43.848354
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,1020,3,1000,2.6267480850219727,1000,FALSE,TRUE,pyspark,2023-07-20T10:59:42.286031
success,dedupe_fluent_nested_withCol,fluent,3,2020,3,1000,7.666298866271973,1000,FALSE,TRUE,pyspark,2023-07-20T10:59:50.097304
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,11,1,10,30.417622566223145,10,FALSE,TRUE,pyspark,2023-07-20T21:17:56.383899
success,dedupe_fluent_nested_withCol,fluent,3,21,1,10,21.834140062332153,10,FALSE,TRUE,pyspark,2023-07-20T21:18:18.357382
success,dedupe_fluent_nested_withCol,fluent,6,51,2,10,22.01309823989868,10,FALSE,TRUE,pyspark,2023-07-20T21:18:40.509468
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_pandas,pandas,2,10200,4,10000,26.902926206588745,10000,FALSE,TRUE,pyspark,2023-07-20T21:19:48.076785
success,dedupe_pandas,pandas,3,20200,4,10000,407.8847625255585,10000,FALSE,TRUE,pyspark,2023-07-20T21:26:36.376902
success,dedupe_pandas,pandas,6,50200,5,10000,3084.181872844696,10000,FALSE,TRUE,pyspark,2023-07-20T22:18:01.023449
success,dedupe_fluent_nested_python,fluent,2,10200,4,10000,7.978799819946289,10000,FALSE,TRUE,pyspark,2023-07-20T22:18:09.526133
success,dedupe_fluent_nested_python,fluent,3,20200,4,10000,91.2423210144043,10000,FALSE,TRUE,pyspark,2023-07-20T22:19:41.159211
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,281.3760898113251,10000,FALSE,TRUE,pyspark,2023-07-20T22:24:22.924104
success,dedupe_fluent_nested_withCol,fluent,2,10200,4,10000,22.890111684799194,10000,FALSE,TRUE,pyspark,2023-07-20T22:24:46.217465
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_pandas,pandas,2,10200,4,10000,31.19897747039795,10000,FALSE,TRUE,pyspark,2023-07-21T08:01:27.496713
success,dedupe_pandas,pandas,3,20200,4,10000,381.6599440574646,10000,FALSE,TRUE,pyspark,2023-07-21T08:07:49.565997
success,dedupe_pandas,pandas,6,50200,5,10000,3048.087548494339,10000,FALSE,TRUE,pyspark,2023-07-21T08:58:38.055722
