 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
0.335552453994751,pyspark,2024-11-05T11:50:47.569160,sql,python,9,9,vanilla_pyspark_df_grp_builtin,
0.4385678768157959,pyspark,2024-11-05T11:50:48.142851,sql,python,9,90,vanilla_pyspark_df_grp_builtin,
0.42545461654663086,pyspark,2024-11-05T11:50:48.701893,sql,python,9,900,vanilla_pyspark_df_grp_builtin,
0.39571142196655273,pyspark,2024-11-05T11:50:49.237079,sql,python,9,9000,vanilla_pyspark_df_grp_builtin,
0.5693516731262207,pyspark,2024-11-05T11:50:49.942079,sql,python,9,90000,vanilla_pyspark_df_grp_builtin,
3.2636802196502686,pyspark,2024-11-05T11:50:53.342964,sql,python,9,900000,vanilla_pyspark_df_grp_builtin,
2.414252758026123,pyspark,2024-11-05T11:50:55.894769,pandas,python,9,9,vanilla_pyspark_df_grp_pandas,
2.3519628047943115,pyspark,2024-11-05T11:50:58.389703,pandas,python,9,90,vanilla_pyspark_df_grp_pandas,
2.449486017227173,pyspark,2024-11-05T11:51:00.979727,pandas,python,9,900,vanilla_pyspark_df_grp_pandas,
2.407528877258301,pyspark,2024-11-05T11:51:03.525327,pandas,python,9,9000,vanilla_pyspark_df_grp_pandas,
4.666329860687256,pyspark,2024-11-05T11:51:08.328175,pandas,python,9,90000,vanilla_pyspark_df_grp_pandas,
10.49664044380188,pyspark,2024-11-05T11:51:18.960340,pandas,python,9,900000,vanilla_pyspark_df_grp_pandas,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
4.057329177856445,pyspark,2024-11-05T11:58:38.610253,sql,python,9,9,vanilla_pyspark_sql,
0.6693272590637207,pyspark,2024-11-05T11:58:39.421200,sql,python,9,90,vanilla_pyspark_sql,
0.5248198509216309,pyspark,2024-11-05T11:58:40.084552,sql,python,9,900,vanilla_pyspark_sql,
0.49445271492004395,pyspark,2024-11-05T11:58:40.721336,sql,python,9,9000,vanilla_pyspark_sql,
0.6600532531738281,pyspark,2024-11-05T11:58:41.520447,sql,python,9,90000,vanilla_pyspark_sql,
4.540605068206787,pyspark,2024-11-05T11:58:46.197926,sql,python,9,900000,vanilla_pyspark_sql,
0.31896281242370605,pyspark,2024-11-05T11:58:46.652860,sql,python,9,9,vanilla_pyspark_df_grp_builtin,
0.42463088035583496,pyspark,2024-11-05T11:58:47.211532,sql,python,9,90,vanilla_pyspark_df_grp_builtin,
0.4078559875488281,pyspark,2024-11-05T11:58:47.755519,sql,python,9,900,vanilla_pyspark_df_grp_builtin,
0.4520437717437744,pyspark,2024-11-05T11:58:48.342083,sql,python,9,9000,vanilla_pyspark_df_grp_builtin,
0.5469696521759033,pyspark,2024-11-05T11:58:49.024304,sql,python,9,90000,vanilla_pyspark_df_grp_builtin,
3.1786556243896484,pyspark,2024-11-05T11:58:52.343363,sql,python,9,900000,vanilla_pyspark_df_grp_builtin,
2.4244301319122314,pyspark,2024-11-05T11:58:54.904537,pandas,python,9,9,vanilla_pyspark_df_grp_pandas,
2.3725063800811768,pyspark,2024-11-05T11:58:57.416351,pandas,python,9,90,vanilla_pyspark_df_grp_pandas,
2.4557714462280273,pyspark,2024-11-05T11:59:00.013591,pandas,python,9,900,vanilla_pyspark_df_grp_pandas,
2.4096293449401855,pyspark,2024-11-05T11:59:02.560481,pandas,python,9,9000,vanilla_pyspark_df_grp_pandas,
4.637644290924072,pyspark,2024-11-05T11:59:07.337157,pandas,python,9,90000,vanilla_pyspark_df_grp_pandas,
10.558006763458252,pyspark,2024-11-05T11:59:18.033379,pandas,python,9,900000,vanilla_pyspark_df_grp_pandas,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
36.91623640060425,pyspark,2024-11-05T14:46:21.012584,rdd,python,9,9000,vanilla_pyspark_rdd_mappart,
1.825286626815796,pyspark,2024-11-05T14:46:22.982816,sql,python,9,90000,vanilla_pyspark_df_grp_builtin,
0.6163833141326904,pyspark,2024-11-05T14:46:23.746328,sql,python,9,900,vanilla_pyspark_df_grp_builtin,
4.824692487716675,pyspark,2024-11-05T14:46:28.708406,pandas,python,9,9,vanilla_pyspark_df_grp_numpy,
33.743396520614624,pyspark,2024-11-05T14:47:02.599171,rdd,python,9,9000,vanilla_pyspark_rdd_reduce,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
107.8797435760498,pyspark,2024-11-09T12:15:18.727252,sql,python,9,9000000,vanilla_pyspark_sql,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
1087.165015220642,pyspark,2024-11-09T12:36:09.938326,rdd,python,9,9000000,vanilla_pyspark_rdd_mappart,
1101.9994158744812,pyspark,2024-11-09T12:54:32.079756,rdd,python,9,9000000,vanilla_pyspark_rdd_reduce,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
131.10794591903687,pyspark,2024-11-09T14:18:37.602762,sql,python,9,9000000,vanilla_pyspark_df_grp_builtin,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
103.0008065700531,pyspark,2024-11-09T22:53:03.663223,sql,python,9,9000000,vanilla_pyspark_df_grp_builtin,
75.37831139564514,pyspark,2024-11-09T22:54:19.193200,pandas,python,9,9000000,vanilla_pyspark_df_grp_numba,
135.63028216362,pyspark,2024-11-09T22:56:34.999247,pandas,python,9,9000000,vanilla_pyspark_df_grp_numpy,
92.41958928108215,pyspark,2024-11-09T22:58:07.575053,pandas,python,9,9000000,vanilla_pyspark_df_grp_pandas,
